"nflId","gameId","ngsPlayId","gsisPlayId","time","isOnField","x","y","s","dis","event","ndx","team","millisecs_since_epoch","displayName","position","positionGroup","jerseyNumber","height","weight","team.fullName","top_speed","next_x","next_y","circle1_x","circle1_y","circle1_r","circle2_x","circle2_y","circle2_r","weight_kg"
"234","1","530","2582","2015-11-29T20:03:40.000",TRUE,24.27,6.49,0.06,0.02,NA,1,"OFFENSE",1448827420,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.25,6.5,24.269241942137,6.49037902893151,0.0119927059784459,24.268483884274,6.49075805786301,0.0159902746379279,83.007336
"234","1","530","2582","2015-11-29T20:03:40.100",TRUE,24.25,6.5,0.08,0.02,NA,2,"OFFENSE",1448827420.1,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.26,6.48,24.2505053719087,6.49898925618265,0.0122634946754287,24.2510107438174,6.4979785123653,0.016351326233905,83.007336
"234","1","530","2582","2015-11-29T20:03:40.200",TRUE,24.26,6.48,0.08,0.02,NA,3,"OFFENSE",1448827420.2,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.29,6.47,24.261516115726,6.47949462809132,0.0173432004920802,24.2630322314521,6.47898925618265,0.0231242673227736,83.007336
"234","1","530","2582","2015-11-29T20:03:40.300",TRUE,24.29,6.47,0.05,0.03,NA,4,"OFFENSE",1448827420.3,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.3,6.49,24.2903158574429,6.47063171488584,0.0118573116299556,24.2906317148858,6.47126342977169,0.0158097488399407,83.007336
"234","1","530","2582","2015-11-29T20:03:40.400",TRUE,24.3,6.49,0.03,0.02,NA,5,"OFFENSE",1448827420.4,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.3,6.51,24.3,6.49037902893151,0.0103633011603945,24.3,6.49075805786301,0.013817734880526,83.007336
"234","1","530","2582","2015-11-29T20:03:40.500",TRUE,24.3,6.51,0.01,0.02,NA,6,"OFFENSE",1448827420.5,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.29,6.53,24.2999368285114,6.51012634297717,0.0113157342359907,24.2998736570228,6.51025268595434,0.0150876456479876,83.007336
"234","1","530","2582","2015-11-29T20:03:40.600",TRUE,24.29,6.53,0.01,0.02,NA,7,"OFFENSE",1448827420.6,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.26,6.58,24.2898104855342,6.53031585744292,0.0295078247391597,24.2896209710685,6.53063171488585,0.0393437663188796,83.007336
"234","1","530","2582","2015-11-29T20:03:40.700",TRUE,24.26,6.58,0.03,0.06,NA,8,"OFFENSE",1448827420.7,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.22,6.63,24.259241942137,6.58094757232877,0.0331787524199706,24.258483884274,6.58189514465753,0.0442383365599608,83.007336
"234","1","530","2582","2015-11-29T20:03:40.800",TRUE,24.22,6.63,0.03,0.06,NA,9,"OFFENSE",1448827420.8,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.19,6.65,24.2194314566027,6.63037902893151,0.0186827068584385,24.2188629132055,6.63075805786301,0.0249102758112513,83.007336
"234","1","530","2582","2015-11-29T20:03:40.900",TRUE,24.19,6.65,0.03,0.04,NA,10,"OFFENSE",1448827420.9,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.18,6.66,24.1898104855342,6.65018951446575,0.00732796052599404,24.1896209710685,6.65037902893151,0.00977061403465872,83.007336
"234","1","530","2582","2015-11-29T20:03:41.000",TRUE,24.18,6.66,0.03,0.01,NA,11,"OFFENSE",1448827421,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.21,6.65,24.1805685433973,6.65981048553425,0.0163858178725572,24.1811370867945,6.65962097106849,0.0218477571634096,83.007336
"234","1","530","2582","2015-11-29T20:03:41.100",TRUE,24.21,6.65,0.03,0.03,NA,12,"OFFENSE",1448827421.1,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.24,6.61,24.2105685433973,6.64924194213699,0.0259082529009861,24.2111370867945,6.64848388427397,0.0345443372013149,83.007336
"234","1","530","2582","2015-11-29T20:03:41.200",TRUE,24.24,6.61,0.02,0.05,NA,13,"OFFENSE",1448827421.2,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.25,6.59,24.2401263429772,6.60974731404566,0.0114511285844819,24.2402526859543,6.60949462809132,0.0152681714459759,83.007336
"234","1","530","2582","2015-11-29T20:03:41.300",TRUE,24.25,6.59,0.02,0.03,NA,14,"OFFENSE",1448827421.3,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.28,6.55,24.2503790289315,6.58949462809132,0.0256055019339916,24.250758057863,6.58898925618265,0.0341406692453222,83.007336
"234","1","530","2582","2015-11-29T20:03:41.400",TRUE,24.28,6.55,0.01,0.04,NA,15,"OFFENSE",1448827421.4,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.32,6.5,24.2802526859543,6.54968414255708,0.0324033315980991,24.2805053719087,6.54936828511415,0.0432044421307988,83.007336
"234","1","530","2582","2015-11-29T20:03:41.500",TRUE,24.32,6.5,0.02,0.06,NA,16,"OFFENSE",1448827421.5,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.35,6.49,24.3203790289315,6.49987365702283,0.0161943413486523,24.320758057863,6.49974731404566,0.0215924551315364,83.007336
"234","1","530","2582","2015-11-29T20:03:41.600",TRUE,24.35,6.49,0.04,0.04,NA,17,"OFFENSE",1448827421.6,"Khari Johnson","WR","WR","83","6-0","183","Barcelona Dragons",8.96,24.34,6.49,24.3497473140457,6.49,0.00524220077359732,24.3494946280913,6.49,0.00698960103146309,83.007336
