"nflId","gameId","ngsPlayId","gsisPlayId","time","isOnField","x","y","s","dis","event","ndx","team","millisecs_since_epoch","displayName","position","positionGroup","jerseyNumber","height","weight","team.fullName","next_x","next_y","circle1_x","circle1_y","circle1_r","circle2_x","circle2_y","circle2_r","weight_kg"
"2495453","3","685","3502","2016-01-03T23:53:34.700",TRUE,63.83,23.06,10,0.02,NA,1,"HOME",1451865214.7,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.83,23.04,63.83,23.0437756286149,0.0112110038679823,63.83,23.0275512572298,0.0149480051573097,106.59412
"2495453","3","685","3502","2016-01-03T23:53:34.800",TRUE,63.83,23.04,10,0.02,NA,2,"HOME",1451865214.8,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.83,23,63.83,23.0075512572298,0.0224220077359645,63.83,22.9751025144597,0.0298960103146194,106.59412
"2495453","3","685","3502","2016-01-03T23:53:34.900",TRUE,63.83,23,10,0.04,NA,3,"HOME",1451865214.9,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.82,22.96,63.8218878143075,22.9675512572298,0.0231120765584493,63.8137756286149,22.9351025144597,0.0308161020779324,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.000",TRUE,63.82,22.96,10,0.03,NA,4,"HOME",1451865215,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.8,22.94,63.8037756286149,22.9437756286149,0.0158547537179192,63.7875512572298,22.9275512572298,0.0211396716238922,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.100",TRUE,63.8,22.94,10,0.03,NA,5,"HOME",1451865215.1,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.78,22.92,63.7837756286149,22.9237756286149,0.0158547537179163,63.7675512572298,22.9075512572298,0.0211396716238885,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.200",TRUE,63.78,22.92,10,0.03,NA,6,"HOME",1451865215.2,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.77,22.87,63.7718878143075,22.8794390715373,0.0285825637449037,63.7637756286149,22.8388781430746,0.0381100849932049,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.300",TRUE,63.77,22.87,10,0.05,NA,7,"HOME",1451865215.3,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.77,22.82,63.77,22.8294390715373,0.0280275096699567,63.77,22.7888781430746,0.0373700128932755,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.400",TRUE,63.77,22.82,10,0.05,NA,8,"HOME",1451865215.4,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.77,22.78,63.77,22.7875512572298,0.0224220077359645,63.77,22.7551025144597,0.0298960103146194,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.500",TRUE,63.77,22.78,10,0.04,NA,9,"HOME",1451865215.5,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.78,22.74,63.7781121856925,22.7475512572298,0.0231120765584512,63.7862243713851,22.7151025144597,0.0308161020779349,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.600",TRUE,63.78,22.74,10,0.03,NA,10,"HOME",1451865215.6,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.79,22.72,63.7881121856925,22.7237756286149,0.0125342833724103,63.7962243713851,22.7075512572298,0.0167123778298804,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.700",TRUE,63.79,22.72,10,0.03,NA,11,"HOME",1451865215.7,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.8,22.71,63.7981121856925,22.7118878143075,0.00792737685895746,63.8062243713851,22.7037756286149,0.0105698358119433,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.800",TRUE,63.8,22.71,10,0.02,NA,12,"HOME",1451865215.8,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.82,22.72,63.8162243713851,22.7181121856925,0.012534283372412,63.8324487427702,22.7262243713851,0.0167123778298827,106.59412
"2495453","3","685","3502","2016-01-03T23:53:35.900",TRUE,63.82,22.72,10,0.02,NA,13,"HOME",1451865215.9,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.82,22.75,63.82,22.7443365570776,0.0168165058019744,63.82,22.7686731141553,0.0224220077359659,106.59412
"2495453","3","685","3502","2016-01-03T23:53:36.000",TRUE,63.82,22.75,10,0.02,NA,14,"HOME",1451865216,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.82,22.78,63.82,22.7743365570776,0.0168165058019744,63.82,22.7986731141553,0.0224220077359659,106.59412
"2495453","3","685","3502","2016-01-03T23:53:36.100",TRUE,63.82,22.78,10,0.04,NA,15,"HOME",1451865216.1,"Zaire Rose","QB","QB","2","6-4","235","Hamburg Sea Devils",63.82,22.83,63.82,22.8205609284627,0.0280275096699547,63.82,22.8611218569254,0.0373700128932729,106.59412
