"nflId","gameId","ngsPlayId","gsisPlayId","time","isOnField","x","y","s","dis","event","ndx","team","millisecs_since_epoch","displayName","position","positionGroup","jerseyNumber","height","weight","team.fullName"
"1037864","3","685","3502","2016-01-03T23:53:34.700",TRUE,58.53,18.16,0.26,0.02,NA,1,"AWAY",1451865214.7,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:34.800",TRUE,58.53,18.14,0.22,0.02,NA,2,"AWAY",1451865214.8,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:34.900",TRUE,58.53,18.13,0.19,0.01,NA,3,"AWAY",1451865214.9,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:35.000",TRUE,58.51,18.12,0.14,0.02,NA,4,"AWAY",1451865215,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:35.100",TRUE,58.51,18.12,0.09,0,NA,5,"AWAY",1451865215.1,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:35.200",TRUE,58.53,18.15,0.06,0.04,NA,6,"AWAY",1451865215.2,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:35.300",TRUE,58.55,18.19,0.05,0.04,NA,7,"AWAY",1451865215.3,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:35.400",TRUE,58.55,18.22,0.04,0.04,NA,8,"AWAY",1451865215.4,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:35.500",TRUE,58.55,18.26,0.03,0.03,NA,9,"AWAY",1451865215.5,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:35.600",TRUE,58.55,18.28,0.03,0.03,NA,10,"AWAY",1451865215.6,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:35.700",TRUE,58.55,18.3,0.05,0.01,NA,11,"AWAY",1451865215.7,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:35.800",TRUE,58.55,18.3,0.06,0.01,NA,12,"AWAY",1451865215.8,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:35.900",TRUE,58.55,18.28,0.08,0.03,NA,13,"AWAY",1451865215.9,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:36.000",TRUE,58.54,18.23,0.09,0.04,NA,14,"AWAY",1451865216,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
"1037864","3","685","3502","2016-01-03T23:53:36.100",TRUE,58.54,18.21,0.05,0.02,NA,15,"AWAY",1451865216.1,"Michael Austin","DE","DL","97","6-6","269","Frankfurt Galaxy"
